s,v,T_stride,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im,abs_lam1,abs_lam2,abs_lam3,stable
1.110621,0.308631,3.598537,-1.00000000,0.00000000,0.38474929,0.00000000,0.00000000,0.00000000,1.00000000,0.38474929,0.00000000,1
1.113527,0.309511,3.597694,-1.00000000,0.00000000,0.38151054,0.00000000,0.00000000,0.00000000,1.00000000,0.38151054,0.00000000,1
1.116433,0.310393,3.596841,-1.00000000,0.00000000,0.37826341,0.00000000,0.00000000,0.00000000,1.00000000,0.37826341,0.00000000,1
1.119339,0.311275,3.595978,-1.00000000,0.00000000,0.37500790,0.00000000,-0.00000000,0.00000000,1.00000000,0.37500790,0.00000000,1
1.122244,0.312159,3.595104,-1.00000000,0.00000000,0.37174402,0.00000000,-0.00000000,0.00000000,1.00000000,0.37174402,0.00000000,1
1.125150,0.313044,3.594219,-1.00000000,0.00000000,0.36847176,0.00000000,0.00000000,0.00000000,1.00000000,0.36847176,0.00000000,1
1.128056,0.313931,3.593323,-1.00000000,0.00000000,0.36519115,0.00000000,-0.00000000,0.00000000,1.00000000,0.36519115,0.00000000,1
1.130962,0.314819,3.592417,-1.00000000,0.00000000,0.36190217,0.00000000,0.00000000,0.00000000,1.00000000,0.36190217,0.00000000,1
1.133868,0.315709,3.591500,-1.00000000,0.00000000,0.35860484,0.00000000,0.00000000,0.00000000,1.00000000,0.35860484,0.00000000,1
1.136774,0.316600,3.590571,-1.00000000,0.00000000,0.35529916,0.00000000,0.00000000,0.00000000,1.00000000,0.35529916,0.00000000,1
1.139679,0.317492,3.589632,-1.00000000,0.00000000,0.35198513,0.00000000,0.00000000,0.00000000,1.00000000,0.35198513,0.00000000,1
1.142585,0.318386,3.588682,-1.00000000,0.00000000,0.34866276,0.00000000,0.00000000,0.00000000,1.00000000,0.34866276,0.00000000,1
1.145491,0.319281,3.587720,-1.00000000,0.00000000,0.34533206,0.00000000,0.00000000,0.00000000,1.00000000,0.34533206,0.00000000,1
1.148397,0.320178,3.586747,-1.00000000,0.00000000,0.34199302,0.00000000,-0.00000000,0.00000000,1.00000000,0.34199302,0.00000000,1
1.151303,0.321076,3.585763,-1.00000000,0.00000000,0.33864565,0.00000000,-0.00000000,0.00000000,1.00000000,0.33864565,0.00000000,1
1.154208,0.321976,3.584767,-1.00000000,0.00000000,0.33528996,0.00000000,0.00000000,0.00000000,1.00000000,0.33528996,0.00000000,1
1.157114,0.322877,3.583760,-1.00000000,0.00000000,0.33192595,0.00000000,-0.00000000,0.00000000,1.00000000,0.33192595,0.00000000,1
1.160020,0.323780,3.582742,-1.00000000,0.00000000,0.32855363,0.00000000,0.00000000,0.00000000,1.00000000,0.32855363,0.00000000,1
1.162926,0.324684,3.581712,-1.00000000,0.00000000,0.32517300,0.00000000,0.00000000,0.00000000,1.00000000,0.32517300,0.00000000,1
1.165832,0.325590,3.580670,-1.00000000,0.00000000,0.32178407,0.00000000,0.00000000,0.00000000,1.00000000,0.32178407,0.00000000,1
1.168737,0.326498,3.579616,-1.00000000,0.00000000,0.31838683,0.00000000,0.00000000,0.00000000,1.00000000,0.31838683,0.00000000,1
1.171643,0.327407,3.578551,-1.00000000,0.00000000,0.31498131,0.00000000,0.00000000,0.00000000,1.00000000,0.31498131,0.00000000,1
1.174549,0.328318,3.577474,-1.00000000,0.00000000,0.31156749,0.00000000,-0.00000000,0.00000000,1.00000000,0.31156749,0.00000000,1
1.177455,0.329231,3.576385,-1.00000000,0.00000000,0.30814539,0.00000000,0.00000000,0.00000000,1.00000000,0.30814539,0.00000000,1
1.180361,0.330145,3.575283,-1.00000000,0.00000000,0.30471501,0.00000000,0.00000000,0.00000000,1.00000000,0.30471501,0.00000000,1
1.183267,0.331060,3.574170,-1.00000000,0.00000000,0.30127636,0.00000000,0.00000000,0.00000000,1.00000000,0.30127636,0.00000000,1
1.186172,0.331978,3.573045,-1.00000000,0.00000000,0.29782944,0.00000000,0.00000000,0.00000000,1.00000000,0.29782944,0.00000000,1
1.189078,0.332897,3.571907,-1.00000000,0.00000000,0.29437425,0.00000000,-0.00000000,0.00000000,1.00000000,0.29437425,0.00000000,1
1.191984,0.333818,3.570757,-1.00000000,0.00000000,0.29091081,0.00000000,-0.00000000,0.00000000,1.00000000,0.29091081,0.00000000,1
1.194890,0.334741,3.569595,-1.00000000,0.00000000,0.28743911,0.00000000,0.00000000,0.00000000,1.00000000,0.28743911,0.00000000,1
1.197796,0.335665,3.568421,-1.00000000,0.00000000,0.28395917,0.00000000,0.00000000,0.00000000,1.00000000,0.28395917,0.00000000,1
1.200701,0.336592,3.567233,-1.00000000,0.00000000,0.28047098,0.00000000,0.00000000,0.00000000,1.00000000,0.28047098,0.00000000,1
1.203607,0.337520,3.566034,-1.00000000,0.00000000,0.27697455,0.00000000,0.00000000,0.00000000,1.00000000,0.27697455,0.00000000,1
1.206513,0.338450,3.564822,-1.00000000,0.00000000,0.27346989,0.00000000,0.00000000,0.00000000,1.00000000,0.27346989,0.00000000,1
1.209419,0.339381,3.563597,-1.00000000,0.00000000,0.26995701,0.00000000,0.00000000,0.00000000,1.00000000,0.26995701,0.00000000,1
1.212325,0.340315,3.562360,-1.00000000,0.00000000,0.26643590,0.00000000,0.00000000,0.00000000,1.00000000,0.26643590,0.00000000,1
1.215230,0.341251,3.561109,-1.00000000,0.00000000,0.26290657,0.00000000,-0.00000000,0.00000000,1.00000000,0.26290657,0.00000000,1
1.218136,0.342188,3.559846,-1.00000000,0.00000000,0.25936904,0.00000000,-0.00000000,0.00000000,1.00000000,0.25936904,0.00000000,1
1.221042,0.343127,3.558571,-1.00000000,0.00000000,0.25582329,0.00000000,-0.00000000,0.00000000,1.00000000,0.25582329,0.00000000,1
1.223948,0.344068,3.557282,-1.00000000,0.00000000,0.25226934,0.00000000,0.00000000,0.00000000,1.00000000,0.25226934,0.00000000,1
1.226854,0.345011,3.555980,-1.00000000,0.00000000,0.24870720,0.00000000,0.00000000,0.00000000,1.00000000,0.24870720,0.00000000,1
1.229760,0.345956,3.554665,-1.00000000,0.00000000,0.24513686,0.00000000,0.00000000,0.00000000,1.00000000,0.24513686,0.00000000,1
1.232665,0.346904,3.553338,-1.00000000,0.00000000,0.24155834,0.00000000,-0.00000000,0.00000000,1.00000000,0.24155834,0.00000000,1
1.235571,0.347853,3.551997,-1.00000000,0.00000000,0.23797163,0.00000000,0.00000000,0.00000000,1.00000000,0.23797163,0.00000000,1
1.238477,0.348804,3.550643,-1.00000000,0.00000000,0.23437675,0.00000000,-0.00000000,0.00000000,1.00000000,0.23437675,0.00000000,1
1.241383,0.349757,3.549276,-1.00000000,0.00000000,0.23077369,0.00000000,0.00000000,0.00000000,1.00000000,0.23077369,0.00000000,1
1.244289,0.350712,3.547896,-1.00000000,0.00000000,0.22716246,0.00000000,0.00000000,0.00000000,1.00000000,0.22716246,0.00000000,1
1.247194,0.351669,3.546503,-1.00000000,0.00000000,0.22354306,0.00000000,0.00000000,0.00000000,1.00000000,0.22354306,0.00000000,1
1.250100,0.352628,3.545097,-1.00000000,0.00000000,0.21991551,0.00000000,-0.00000000,0.00000000,1.00000000,0.21991551,0.00000000,1
1.253006,0.353589,3.543677,-1.00000000,0.00000000,0.21627979,0.00000000,-0.00000000,0.00000000,1.00000000,0.21627979,0.00000000,1
1.255912,0.354553,3.542245,-1.00000000,0.00000000,0.21263592,0.00000000,0.00000000,0.00000000,1.00000000,0.21263592,0.00000000,1
